158	119	120	
114	83	83	
124	116	121	
116	80	83	
168	172	178	
176	189	195	
187	157	159	
148	164	175	
155	174	183	
161	182	190	
196	166	95	
99	99	101	
99	95	96	
164	169	174	
119	103	104	
147	147	153	
93	116	128	
157	171	178	
176	176	176	
107	133	158	
111	152	159	
134	167	160	

158	191	199	
145	151	156	
113	113	115	
164	158	157	
137	175	171	

123	111	111	
94	134	144	
149	183	180	
208	183	142	
153	188	182	
76	95	115	
178	139	142	
131	156	173	
105	103	111	
174	148	151	
107	90	84	
111	109	117	
140	162	178	
96	97	101	
148	166	178	
173	168	167	
193	197	199	
119	158	163	
142	147	151	
124	122	128	
177	180	181	
119	106	111	
160	101	98	
155	160	167	
145	111	115	
150	160	165	
148	167	174	
149	168	183	
130	153	170	
172	198	205	
150	187	170	
148	174	170	
159	174	187	
195	183	184	
150	169	180	
146	167	178	
165	134	138	
166	154	151	
128	165	156	
151	188	202	
167	166	171	
141	177	159	
144	182	161	
177	189	192	
136	173	148	
154	192	173	
197	199	191	
129	127	133	
81	108	130	
165	126	130	
117	127	138	
132	169	179	
126	158	155	
128	150	169	
154	152	155	
173	189	195	
201	197	183	
199	185	183	
194	196	195	
210	185	134	
197	193	182	
146	165	178	
112	109	115	
76	44	40	
156	181	188	
148	165	172	
148	172	170	
145	184	162	
180	157	153	
184	176	174	
194	170	169	
118	92	82	
202	199	190	
171	162	158	
88	119	141	
76	77	81	
95	97	105	
116	152	147	
156	186	193	
142	175	165	
170	184	174	
179	175	172	
174	134	135	
155	131	132	
180	158	158	
189	176	173	
189	165	166	
188	154	112	
87	89	93	
87	83	82	
124	148	160	
147	166	171	
184	173	170	
168	161	161	
154	126	128	
184	166	166	
190	173	167	
187	186	181	
201	168	111	
171	164	160	
168	126	113	
140	155	165	
90	109	120	
122	143	141	
122	165	156	
126	147	159	
151	150	154	
146	120	123	
86	45	40	
148	118	119	
174	165	162	
163	157	162	
147	142	146	
106	89	91	
123	140	152	
124	124	129	
108	133	145	
123	151	156	
121	121	127	
112	109	118	
93	63	61	
138	112	112	
174	129	125	
181	165	165	
139	138	145	
89	85	86	
129	122	122	

146	121	111	
105	150	137	
135	154	154	
145	161	164	
112	120	122	
142	114	114	
82	43	37	
169	163	163	
146	98	91	
173	141	136	
115	113	115	
122	124	118	
99	93	93	
154	141	139	
142	135	135	
122	152	161	
130	151	156	
92	111	124	
155	139	137	
158	119	118	
96	78	72	
171	158	160	
111	131	141	
60	87	100	
88	111	123	
85	90	94	
104	125	139	
84	107	114	
71	82	86	
101	109	108	
120	136	142	
40	61	69	
76	81	85	
79	81	83	
76	79	82	
80	85	88	
70	75	78	
73	72	72	
54	72	86	
49	74	79	
40	49	51	
